"refNum","Стара оферта","base","descOverlap","final","Оператор","spo (ID при оператора)","PV id","PV заглавие"
"П934","Почивка в Италия – Сицилия (хотел Orizzonte 4★)","0.613","1","0.787","Bohemia","1100006300","21-1100006300","Почивка в ИТАЛИЯ - СИЦИЛИЯ, хотел Nike 4* - със самолет и обслужване на български език!"
"П1122","Мечтана Италия – Римини + бонус 5 екскурзии","0.576","1","0.767","Abax.bg","3078","109-3078","Мечтана Италия - Римини + БОНУС 5 включени екскурзии"
"Е412","Париж – градът на светлината","0.592","0.86","0.711","Bohemia","6000000855","21-6000000855","Екскурзия във Франция - ПАРИЖ - градът на светлината"
"Е127","САЩ – Източно и Западно крайбрежие с круиз по Бахамите","0.64","0.79","0.707","2МКО","2099","20-2099","САЩ - Източно и Западно крайбрежиe с круиз по Бахамите"
"П1070","Почивка в Тенерифе (Alexandre Hotel Gala 4★)","0.597","0.83","0.703","Emerald Travel","1639","123-1639","Почивка в Испания - остров Тенерифе, директни чартъри от София - ALEXANDRE HOTELS"
"П1047","Романтиката на Френската ривиера и Лигурия + 6 екскурзии","0.576","0.86","0.703","Abax.bg","3079","109-3079","Романтиката на Френската Ривиера и Лигурия + БОНУС 6 екскурзии"
"Е735","Магичният свят на Вроцлав и Краков","0.617","0.8","0.699","Bohemia","6000005052","21-6000005052","Екскурзия в ПОЛША - вълшебният свят на Вроцлав и Краков!"
"П1159","Перлите на Коста Дорада (+ 5 екскурзии)","0.555","0.88","0.699","Abax.bg","3092","109-3092","Перлите на  Коста Дорада с БОНУС 5 екскурзии"
"Е411","Париж – любов и романтика (самолет, на български)","0.448","1","0.696","Bohemia","6000005518","21-6000005518","Екскурзия във ФРАНЦИЯ - Париж - любов и романтика! Директен полет от ВАРНА!"
"Е252","Почивка на остров Закинтос – перлата на Йонийските острови","0.531","0.88","0.686","AnaTravel","831","26-831","Почивка на Остров Закинтос - Перлата на Йонийските острови, с възможност за посещение на остров Кефалония седем нощувки със закуски и вечери"
"П1127","Почивка на Олимпийска Ривиера (автобус, 5 нощувки)","0.573","0.82","0.683","Emerald Travel","1699","123-1699","Почивка на Олимпийска Ривиера, Гърция с автобус от Стара Загора, Пловдив и София - 5 нощувки, закуски и вечери"
"Е593","Самолетна екскурзия до Рим (3 нощувки, панорамна обиколка с екскурзовод)","0.417","1","0.679","Bohemia","6000001575","21-6000001575","Екскурзия в ИТАЛИЯ - РИМ - сърцето на Империята, 3 нощувки със самолет и обслужване на български език!"
"П924","Почивка в Анталия (полет от Бургас)","0.618","0.75","0.677","OnexTour","253","94-253","Почивка в Лара, Турция с полет от Бургас до Анталия"
"Е559","Милано и италианските езера","0.55","0.83","0.677","Doris","255","111-255","Милано и италиански езера"
"Е455","Легенди от Румъния – Букурещ, Синая, Бран и Брашов","0.583","0.89","0.672","GlobalTour","6878","68-6878","Екскурзия до Букурещ, Синая, Бран и Брашов от София и Плевен"
"П1123","Приказна почивка в Пулия (с екскурзия до Бари)","0.595","0.75","0.665","Abax.bg","2984","109-2984","Приказна почивка в Пулия с включена екскурзия на Бари"
"Е661","Катар 2026 – Формула 1 Гран При (4 нощувки, хотел 4★)","0.378","1","0.658","Belprego Travel","803","121-803","QATAR 2026 - FORMULA 1 GRAND PRIX - 4 Нощувки - хотел 4* - T16 GRANDSTAND"
